广东频道,#genre#
广东珠江,http://52itv.freevar.com/gdtv.php?id=zjpd
广东卫视,http://52itv.freevar.com/gdtv.php?id=gdws
广东体育,http://52itv.freevar.com/hnyx.php?id=34#http://52itv.freevar.com/gdtv.php?id=typd#http://116.199.5.51:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=8&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
广东新闻,http://52itv.freevar.com/gdtv.php?id=xwpd
广东公共,http://52itv.freevar.com/gdtv.php?id=ggpd#http://52itv.freevar.com/hnyx.php?id=45
广东国际,http://52itv.freevar.com/gdtv.php?id=gjpd
广东经济,http://52itv.freevar.com/gdtv.php?id=tvs1&r=hd
广东南方,http://52itv.freevar.com/gdtv.php?id=tvs2
广东综艺,http://52itv.freevar.com/gdtv.php?id=4K
广东影视,http://52itv.freevar.com/gdtv.php?id=tvs4
广东少儿,http://52itv.freevar.com/gdtv.php?id=tvs5
广东移动,http://52itv.freevar.com/gdtv.php?id=ydpd&s=sz
广东房产,http://52itv.freevar.com/gdtv.php?id=fcpd&s=sz
广东教育,http://52itv.freevar.com/gdtv.php?id=jypd&s=sz
南方购物,http://52itv.freevar.com/gdtv.php?id=nfgw&s=sz
深圳体育,http://52itv.freevar.com/hnyx.php?id=50
深圳龙岗,http://liveplay.sznews.com/66_norecord_live/357.m3u8
深圳东部,http://liveplay.sznews.com/66_norecord_live/343.m3u8
深圳众创,http://liveplay.sznews.com/66_norecord_live/341.m3u8
深圳卫视,http://52itv.freevar.com/sztv.php?id=1
深圳都市,http://52itv.freevar.com/sztv.php?id=2
深圳电视,http://52itv.freevar.com/sztv.php?id=3
深圳公共,http://52itv.freevar.com/sztv.php?id=4
深圳财经,http://52itv.freevar.com/sztv.php?id=5
深圳娱乐,http://52itv.freevar.com/sztv.php?id=6
深圳少儿,http://52itv.freevar.com/sztv.php?id=7
深圳移动,http://52itv.freevar.com/sztv.php?id=8
深圳宜和,http://52itv.freevar.com/sztv.php?id=9
深圳生活,http://52itv.freevar.com/sztv.php?id=10
深圳国际,http://52itv.freevar.com/sztv.php?id=11
深圳蛇口,http://218.17.99.211:5080/hls/ttsw6ccn.m3u8
广州综合,http://52itv.freevar.com/gztv.php?id=5c7f7072e4b01c17db18fbd5
广州新闻,http://52itv.freevar.com/gztv.php?id=5c7f6f73e4b01c17db18fbd3
广州法治,http://52itv.freevar.com/gztv.php?id=5c7f7097e4b01c17db18fbd7
广州竞赛,http://52itv.freevar.com/gztv.php?id=5c7f70b7e4b01c17db18fbd9
广州影视,http://52itv.freevar.com/gztv.php?id=5c7f70dce4b01c17db18fbdb
广州南国,http://116.199.5.51:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=123&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1#http://52itv.freevar.com/gztv.php?id=5c7f70fee4b01c17db18fbdd
广州增城,http://202.168.164.38:8083/videos/live/19/27/QEQXMtU5AUpwo/QEQXMtU5AUpwo.M3U8
嘉佳卡通,http://52itv.freevar.com/gdtv.php?id=jjkt&r=sd
